,online_order,book_table,rate,votes,rest_type,cost,type,city
81,Yes,No,4,146,Beverage Shop,400,Delivery,Banashankari
82,No,No,4,14,Sweet Shop,200,Delivery,Banashankari
83,No,No,4,42,Casual Dining,700,Delivery,Banashankari
84,No,No,5,0,Quick Bites,100,Delivery,Banashankari
85,No,No,4,66,Bakery,300,Delivery,Banashankari
86,Yes,No,4,4401,Casual Dining,600,Delivery,Banashankari
87,No,No,4,31,Quick Bites,200,Delivery,Banashankari
88,No,No,4,7,Dessert Parlor,500,Delivery,Banashankari
89,No,No,4,21,Quick Bites,250,Delivery,Banashankari
90,No,No,5,0,Delivery,500,Delivery,Banashankari
91,No,No,5,0,"Takeaway, Delivery",400,Delivery,Banashankari
92,No,No,5,0,Mess,200,Delivery,Banashankari
93,No,No,3,9,Dessert Parlor,300,Delivery,Banashankari
94,No,No,3,283,Casual Dining,600,Delivery,Banashankari
95,No,No,3,62,Bar,800,Delivery,Banashankari
96,No,No,4,64,Quick Bites,250,Delivery,Banashankari
97,No,No,4,39,Casual Dining,950,Delivery,Banashankari
98,No,No,4,65,Quick Bites,300,Delivery,Banashankari
99,Yes,No,4,71,Dessert Parlor,400,Delivery,Banashankari
100,No,No,4,52,Quick Bites,300,Delivery,Banashankari
101,No,No,4,130,Quick Bites,200,Delivery,Banashankari
102,No,No,4,10,Quick Bites,300,Delivery,Banashankari
103,No,No,4,45,"Takeaway, Delivery",400,Delivery,Banashankari
104,No,No,3,11,Cafe,600,Delivery,Banashankari
105,No,No,4,13,Bakery,300,Delivery,Banashankari
106,No,No,3,8,Quick Bites,300,Delivery,Banashankari
107,No,No,5,0,"Takeaway, Delivery",250,Delivery,Banashankari
108,No,No,3,9,Quick Bites,300,Delivery,Banashankari
109,No,No,3,4,Quick Bites,300,Delivery,Banashankari
110,No,No,5,0,"Takeaway, Delivery",200,Delivery,Banashankari
111,No,No,3,29,Quick Bites,150,Delivery,Banashankari
112,No,No,3,8,Bakery,400,Delivery,Banashankari
113,No,No,5,0,Dessert Parlor,150,Delivery,Banashankari
114,No,No,5,0,Bakery,300,Delivery,Banashankari
115,No,No,5,0,Quick Bites,200,Delivery,Banashankari
116,No,No,5,0,"Takeaway, Delivery",150,Delivery,Banashankari
117,No,No,5,0,Dessert Parlor,150,Delivery,Banashankari
118,No,No,5,0,Quick Bites,250,Delivery,Banashankari
119,No,No,3,30,Bar,1000,Delivery,Banashankari
120,Yes,No,4,201,Quick Bites,300,Delivery,Banashankari
121,No,No,3,7,Quick Bites,200,Delivery,Banashankari
122,No,No,3,6,Quick Bites,100,Delivery,Banashankari
123,No,No,3,17,Quick Bites,200,Delivery,Banashankari
124,No,No,3,25,Dessert Parlor,200,Delivery,Banashankari
125,No,No,5,0,Delivery,400,Delivery,Banashankari
126,No,No,5,0,Quick Bites,350,Delivery,Banashankari
127,No,No,3,8,Delivery,100,Delivery,Banashankari
128,No,No,5,0,Quick Bites,150,Delivery,Banashankari
129,No,No,5,0,Quick Bites,150,Delivery,Banashankari
130,No,No,5,0,"Takeaway, Delivery",200,Delivery,Banashankari
131,No,No,5,0,Quick Bites,100,Delivery,Banashankari
132,No,No,5,0,Quick Bites,400,Delivery,Banashankari
133,No,No,5,0,Beverage Shop,200,Delivery,Banashankari
134,No,No,5,0,"Beverage Shop, Quick Bites",150,Delivery,Banashankari
135,No,No,5,0,"Takeaway, Delivery",400,Delivery,Banashankari
136,No,No,5,0,Quick Bites,150,Delivery,Banashankari
137,No,No,5,0,Quick Bites,250,Delivery,Banashankari
138,No,No,5,0,Quick Bites,250,Delivery,Banashankari
139,No,No,5,0,Quick Bites,150,Delivery,Banashankari
140,No,No,5,0,Other Rest Type,200,Delivery,Banashankari
141,No,No,5,0,Other Rest Type,350,Delivery,Banashankari
142,No,No,5,0,Quick Bites,300,Delivery,Banashankari
143,No,No,5,0,"Takeaway, Delivery",100,Delivery,Banashankari
144,No,No,5,0,Quick Bites,150,Delivery,Banashankari
145,Yes,No,4,771,Casual Dining,450,Delivery,Banashankari
146,No,No,3,98,Bar,800,Delivery,Banashankari
147,Yes,No,4,47,Quick Bites,200,Delivery,Banashankari
148,Yes,Yes,4,175,Casual Dining,500,Delivery,Banashankari
149,Yes,No,4,58,Quick Bites,300,Delivery,Banashankari
150,Yes,No,4,540,Casual Dining,650,Delivery,Banashankari
151,Yes,No,4,124,Quick Bites,400,Delivery,Banashankari
152,Yes,No,4,340,"Takeaway, Delivery",500,Delivery,Banashankari
153,Yes,No,4,505,Quick Bites,450,Delivery,Banashankari
154,No,No,5,0,Quick Bites,100,Delivery,Banashankari
155,Yes,No,4,438,Dessert Parlor,500,Delivery,Banashankari
156,Yes,No,4,264,Casual Dining,750,Delivery,Banashankari
157,Yes,No,4,169,Beverage Shop,150,Delivery,Banashankari
158,Yes,No,3,67,Quick Bites,250,Delivery,Banashankari
159,Yes,No,4,97,Quick Bites,350,Delivery,Banashankari
160,Yes,No,3,12,"Takeaway, Delivery",300,Delivery,Banashankari
161,Yes,No,3,12,Quick Bites,300,Delivery,Banashankari
162,Yes,No,4,195,Casual Dining,800,Delivery,Banashankari
163,Yes,No,3,13,Other Rest Type,300,Delivery,Banashankari
164,Yes,No,5,228,Cafe,400,Delivery,Banashankari
165,Yes,No,4,70,Quick Bites,150,Delivery,Banashankari
166,Yes,Yes,4,364,Casual Dining,1200,Delivery,Banashankari
167,Yes,No,4,107,Beverage Shop,150,Delivery,Banashankari
168,Yes,No,3,167,Quick Bites,300,Delivery,Banashankari
169,Yes,No,4,115,Sweet Shop,400,Delivery,Banashankari
170,Yes,No,4,27,"Takeaway, Delivery",400,Delivery,Banashankari
171,Yes,No,4,57,Quick Bites,200,Delivery,Banashankari
172,Yes,No,4,120,Quick Bites,250,Delivery,Banashankari
173,Yes,No,4,15,Bakery,400,Delivery,Banashankari
174,Yes,No,4,64,Quick Bites,500,Delivery,Banashankari
175,Yes,No,4,66,Quick Bites,150,Delivery,Banashankari
176,Yes,No,3,290,Quick Bites,450,Delivery,Banashankari
177,Yes,No,4,233,Quick Bites,200,Delivery,Banashankari
178,Yes,No,4,115,Quick Bites,250,Delivery,Banashankari
179,Yes,No,3,119,Casual Dining,700,Delivery,Banashankari
180,Yes,Yes,4,291,Cafe,650,Delivery,Banashankari
181,Yes,No,5,155,Beverage Shop,300,Delivery,Banashankari
182,Yes,No,4,305,Casual Dining,700,Delivery,Banashankari
183,Yes,No,4,46,Quick Bites,500,Delivery,Banashankari
184,Yes,No,4,45,Quick Bites,350,Delivery,Banashankari
185,Yes,No,4,38,Dessert Parlor,150,Delivery,Banashankari
186,Yes,No,4,441,Quick Bites,400,Delivery,Banashankari
187,Yes,No,4,25,Quick Bites,100,Delivery,Banashankari
188,Yes,No,4,630,Quick Bites,200,Delivery,Banashankari
189,Yes,No,4,25,Quick Bites,150,Delivery,Banashankari
190,Yes,No,4,160,Quick Bites,300,Delivery,Banashankari
191,Yes,No,4,287,Quick Bites,350,Delivery,Banashankari
192,Yes,No,4,11,Quick Bites,100,Delivery,Banashankari
193,Yes,No,4,402,Cafe,500,Delivery,Banashankari
194,Yes,No,4,469,Casual Dining,750,Delivery,Banashankari
195,Yes,No,3,511,Casual Dining,550,Delivery,Banashankari
196,Yes,No,4,57,Quick Bites,200,Delivery,Banashankari
197,Yes,No,3,14,Quick Bites,300,Delivery,Banashankari
198,Yes,No,4,264,Quick Bites,200,Delivery,Banashankari
199,Yes,No,3,62,Cafe,400,Delivery,Banashankari
200,Yes,No,4,693,Casual Dining,750,Delivery,Banashankari
201,Yes,No,4,242,Casual Dining,650,Delivery,Banashankari
202,Yes,No,4,27,Dessert Parlor,250,Delivery,Banashankari
203,Yes,No,4,163,Quick Bites,500,Delivery,Banashankari
204,Yes,No,4,191,Quick Bites,250,Delivery,Banashankari
205,Yes,No,4,32,Quick Bites,150,Delivery,Banashankari
206,Yes,No,3,247,Casual Dining,500,Delivery,Banashankari
207,Yes,Yes,4,2339,Casual Dining,1500,Delivery,Banashankari
208,Yes,No,4,337,Quick Bites,300,Delivery,Banashankari
209,Yes,No,4,135,Casual Dining,800,Delivery,Banashankari
210,Yes,No,4,172,Casual Dining,700,Delivery,Banashankari
211,Yes,No,4,105,Casual Dining,700,Delivery,Banashankari
212,Yes,No,4,504,Cafe,550,Delivery,Banashankari
213,Yes,No,3,36,Quick Bites,200,Delivery,Banashankari
214,Yes,No,3,39,Quick Bites,300,Delivery,Banashankari
215,Yes,No,3,5,Casual Dining,500,Delivery,Banashankari
216,Yes,No,5,0,Quick Bites,300,Delivery,Banashankari
217,Yes,Yes,4,1129,Casual Dining,1300,Delivery,Banashankari
218,Yes,No,4,56,Quick Bites,350,Delivery,Banashankari
219,Yes,No,4,860,Dessert Parlor,500,Delivery,Banashankari
220,Yes,No,4,412,Casual Dining,700,Delivery,Banashankari
221,Yes,Yes,4,142,Casual Dining,1000,Delivery,Banashankari
222,Yes,No,3,23,Quick Bites,400,Delivery,Banashankari
223,Yes,No,4,143,Casual Dining,750,Delivery,Banashankari
224,Yes,Yes,3,80,Casual Dining,500,Delivery,Banashankari
225,Yes,No,4,16,Casual Dining,400,Delivery,Banashankari
226,Yes,No,4,181,Beverage Shop,250,Delivery,Banashankari
227,Yes,No,4,70,Quick Bites,200,Delivery,Banashankari
228,Yes,No,4,164,Quick Bites,600,Delivery,Banashankari
229,Yes,No,4,58,Quick Bites,650,Delivery,Banashankari
230,No,No,4,148,"Casual Dining, Cafe",550,Delivery,Banashankari
231,No,No,4,206,Quick Bites,450,Delivery,Banashankari
232,No,No,5,0,Bakery,300,Delivery,Banashankari
233,No,No,5,0,Dessert Parlor,200,Delivery,Banashankari
234,No,No,4,16,Quick Bites,300,Delivery,Banashankari
235,No,No,4,217,Casual Dining,450,Delivery,Banashankari
236,No,No,4,46,Quick Bites,450,Delivery,Banashankari
237,No,No,4,148,Quick Bites,150,Delivery,Banashankari
238,No,No,3,30,Dessert Parlor,250,Delivery,Banashankari
239,No,No,4,8,Casual Dining,800,Delivery,Banashankari
240,No,No,3,4,Quick Bites,250,Delivery,Banashankari
241,No,No,4,15,"Bakery, Quick Bites",400,Delivery,Banashankari
242,No,No,5,0,Quick Bites,100,Delivery,Banashankari
243,No,No,5,0,Quick Bites,300,Delivery,Banashankari
244,No,No,5,0,Quick Bites,200,Delivery,Banashankari
245,Yes,No,3,9,Quick Bites,200,Delivery,Banashankari
246,No,No,5,0,Quick Bites,350,Delivery,Banashankari
247,Yes,No,4,31,Quick Bites,300,Delivery,Banashankari
248,Yes,No,3,177,Casual Dining,700,Delivery,Banashankari
249,Yes,No,4,22,Sweet Shop,250,Delivery,Banashankari
250,Yes,No,4,10,Beverage Shop,100,Delivery,Banashankari
251,Yes,No,4,136,Quick Bites,600,Delivery,Banashankari
252,Yes,No,3,35,Quick Bites,250,Delivery,Banashankari
253,Yes,No,4,185,Quick Bites,200,Delivery,Banashankari
254,Yes,No,3,17,Cafe,900,Delivery,Banashankari
255,Yes,No,4,155,Casual Dining,400,Delivery,Banashankari
256,Yes,No,4,42,Quick Bites,300,Delivery,Banashankari
257,Yes,No,4,286,Casual Dining,600,Delivery,Banashankari
258,Yes,No,4,160,Casual Dining,700,Delivery,Banashankari
259,Yes,No,4,59,Casual Dining,750,Delivery,Banashankari
260,Yes,No,4,90,Casual Dining,500,Delivery,Banashankari
261,Yes,No,4,51,Quick Bites,350,Delivery,Banashankari
262,Yes,No,4,89,Quick Bites,200,Delivery,Banashankari
263,Yes,No,4,18,Quick Bites,250,Delivery,Banashankari
264,Yes,No,4,40,Casual Dining,600,Delivery,Banashankari
265,Yes,No,3,35,Quick Bites,200,Delivery,Banashankari
266,Yes,No,3,89,Quick Bites,250,Delivery,Banashankari
267,Yes,No,3,11,Quick Bites,150,Delivery,Banashankari
268,Yes,No,4,62,Other Rest Type,600,Delivery,Banashankari
269,Yes,No,4,33,Dessert Parlor,300,Delivery,Banashankari
270,Yes,No,4,32,Sweet Shop,250,Delivery,Banashankari
271,Yes,No,4,139,Casual Dining,550,Delivery,Banashankari
272,Yes,No,3,154,Quick Bites,300,Delivery,Banashankari
273,Yes,No,4,14,Bakery,350,Delivery,Banashankari
274,Yes,No,4,237,Quick Bites,200,Delivery,Banashankari
275,Yes,No,4,388,Casual Dining,650,Delivery,Banashankari
276,Yes,No,5,0,Quick Bites,300,Delivery,Banashankari
277,Yes,No,4,128,Casual Dining,500,Delivery,Banashankari
278,Yes,Yes,4,1875,Casual Dining,1200,Delivery,Banashankari
279,Yes,No,4,90,Cafe,650,Delivery,Banashankari
280,Yes,No,3,7,Quick Bites,250,Delivery,Banashankari
281,Yes,No,4,38,Casual Dining,400,Delivery,Banashankari
282,Yes,No,4,179,Delivery,600,Delivery,Banashankari
283,Yes,No,4,43,Dessert Parlor,250,Delivery,Banashankari
284,Yes,No,4,275,Quick Bites,100,Delivery,Banashankari
285,Yes,No,4,323,Casual Dining,850,Delivery,Banashankari
286,Yes,No,3,28,Casual Dining,400,Delivery,Banashankari
287,Yes,No,4,18,Quick Bites,200,Delivery,Banashankari
288,Yes,No,3,6,Quick Bites,100,Delivery,Banashankari
289,Yes,No,5,0,Dessert Parlor,100,Delivery,Banashankari
290,Yes,No,4,322,Casual Dining,400,Delivery,Banashankari
291,Yes,No,3,157,Cafe,450,Delivery,Banashankari
292,Yes,No,4,543,Quick Bites,300,Delivery,Banashankari
293,Yes,No,4,180,Cafe,500,Delivery,Banashankari
294,Yes,No,4,444,Quick Bites,100,Delivery,Banashankari
295,Yes,No,4,134,Quick Bites,400,Delivery,Banashankari
296,Yes,No,4,577,Casual Dining,900,Delivery,Banashankari
297,Yes,No,4,60,Quick Bites,200,Delivery,Banashankari
298,Yes,No,4,144,Casual Dining,550,Delivery,Banashankari
299,Yes,No,4,787,Casual Dining,800,Delivery,Banashankari
300,Yes,No,4,16,Quick Bites,200,Delivery,Banashankari
301,Yes,No,4,84,Quick Bites,250,Delivery,Banashankari
302,Yes,No,4,95,Quick Bites,150,Delivery,Banashankari
303,Yes,Yes,4,349,Casual Dining,1200,Delivery,Banashankari
304,Yes,No,4,248,Quick Bites,400,Delivery,Banashankari
305,Yes,No,4,216,Cafe,500,Delivery,Banashankari
306,Yes,No,5,0,Casual Dining,400,Delivery,Banashankari
307,Yes,No,4,324,Cafe,700,Delivery,Banashankari
308,Yes,No,3,231,Quick Bites,400,Delivery,Banashankari
309,Yes,No,3,102,Casual Dining,400,Delivery,Banashankari
310,Yes,No,4,133,Cafe,800,Delivery,Banashankari
311,Yes,No,3,45,Casual Dining,800,Delivery,Banashankari
312,Yes,No,4,149,Quick Bites,300,Delivery,Banashankari
313,Yes,No,4,75,Quick Bites,200,Delivery,Banashankari
314,Yes,No,4,53,Delivery,600,Delivery,Banashankari
315,Yes,Yes,4,815,Casual Dining,900,Delivery,Banashankari
316,Yes,Yes,4,633,Casual Dining,800,Delivery,Banashankari
317,Yes,No,4,56,Dessert Parlor,400,Delivery,Banashankari
318,Yes,No,3,82,Quick Bites,300,Delivery,Banashankari
319,Yes,No,4,35,Quick Bites,200,Delivery,Banashankari
320,Yes,No,4,20,Quick Bites,150,Delivery,Banashankari
321,Yes,No,3,14,Quick Bites,250,Delivery,Banashankari
322,Yes,No,4,70,Dessert Parlor,400,Delivery,Banashankari
323,Yes,No,4,91,Cafe,300,Delivery,Banashankari
324,Yes,No,4,45,Quick Bites,200,Delivery,Banashankari
325,Yes,No,3,7,Quick Bites,250,Delivery,Banashankari
326,Yes,No,4,28,Quick Bites,150,Delivery,Banashankari
327,Yes,No,4,24,Casual Dining,600,Delivery,Banashankari
328,Yes,No,4,36,Dessert Parlor,200,Delivery,Banashankari
329,Yes,No,4,11,Quick Bites,200,Delivery,Banashankari
330,Yes,No,4,77,Cafe,650,Delivery,Banashankari
331,Yes,No,3,8,Sweet Shop,100,Delivery,Banashankari
332,Yes,No,4,14,Quick Bites,100,Delivery,Banashankari
333,Yes,No,4,210,Casual Dining,600,Delivery,Banashankari
334,Yes,No,4,130,Cafe,650,Delivery,Banashankari
335,Yes,No,4,30,Beverage Shop,100,Delivery,Banashankari
336,Yes,No,4,144,Cafe,700,Delivery,Banashankari
337,Yes,No,3,11,Bar,800,Delivery,Banashankari
338,Yes,No,4,133,Casual Dining,700,Delivery,Banashankari
339,Yes,No,4,136,Quick Bites,350,Delivery,Banashankari
340,Yes,No,3,4,Quick Bites,200,Delivery,Banashankari
341,Yes,No,4,11,Other Rest Type,200,Delivery,Banashankari
342,Yes,No,4,74,Quick Bites,300,Delivery,Banashankari
343,Yes,No,4,30,Quick Bites,300,Delivery,Banashankari
344,Yes,No,3,7,Quick Bites,200,Delivery,Banashankari
345,Yes,No,4,75,Other Rest Type,200,Delivery,Banashankari
346,Yes,No,4,54,Cafe,600,Delivery,Banashankari
347,Yes,No,4,23,Other Rest Type,100,Delivery,Banashankari
348,Yes,No,3,119,Casual Dining,400,Delivery,Banashankari
349,Yes,No,4,73,Quick Bites,400,Delivery,Banashankari
350,Yes,No,3,58,Cafe,400,Delivery,Banashankari
351,Yes,No,4,129,Casual Dining,600,Delivery,Banashankari
352,Yes,No,4,24,Quick Bites,250,Delivery,Banashankari
353,Yes,No,3,175,Quick Bites,400,Delivery,Banashankari
354,Yes,No,4,21,Quick Bites,300,Delivery,Banashankari
355,Yes,No,4,41,Other Rest Type,400,Delivery,Banashankari
356,Yes,No,4,35,Quick Bites,300,Delivery,Banashankari
357,Yes,No,4,176,Casual Dining,800,Delivery,Banashankari
358,Yes,No,4,45,Beverage Shop,300,Delivery,Banashankari
359,Yes,No,4,47,Other Rest Type,400,Delivery,Banashankari
360,Yes,Yes,4,36,Casual Dining,650,Delivery,Banashankari
361,Yes,No,4,52,"Beverage Shop, Quick Bites",400,Delivery,Banashankari
362,Yes,No,3,123,Quick Bites,200,Delivery,Banashankari
363,Yes,No,4,59,Casual Dining,700,Delivery,Banashankari
364,Yes,No,3,4,Quick Bites,300,Delivery,Banashankari
365,Yes,No,4,101,Quick Bites,400,Delivery,Banashankari
366,Yes,No,4,54,Other Rest Type,400,Delivery,Banashankari
367,Yes,No,5,0,Quick Bites,200,Delivery,Banashankari
368,Yes,No,4,22,Quick Bites,200,Delivery,Banashankari
369,Yes,No,3,31,Other Rest Type,250,Delivery,Banashankari
370,Yes,No,3,29,Cafe,500,Delivery,Banashankari
371,Yes,No,3,6,Beverage Shop,100,Delivery,Banashankari
372,Yes,No,3,22,Quick Bites,250,Delivery,Banashankari
373,Yes,No,3,11,Quick Bites,500,Delivery,Banashankari
374,Yes,No,4,101,Quick Bites,150,Delivery,Banashankari
375,Yes,Yes,4,442,"Pub, Casual Dining",1200,Delivery,Banashankari
376,Yes,No,4,155,Quick Bites,400,Delivery,Banashankari
377,Yes,No,3,12,"Beverage Shop, Quick Bites",150,Delivery,Banashankari
378,Yes,No,4,15,Quick Bites,100,Delivery,Banashankari
379,Yes,No,4,10,Quick Bites,200,Delivery,Banashankari
380,Yes,No,4,25,Quick Bites,300,Delivery,Banashankari
381,Yes,No,4,61,Quick Bites,300,Delivery,Banashankari
382,Yes,No,4,23,Quick Bites,300,Delivery,Banashankari
383,Yes,No,4,25,Quick Bites,350,Delivery,Banashankari
384,Yes,No,4,40,Quick Bites,200,Delivery,Banashankari
385,Yes,No,3,4,Quick Bites,100,Delivery,Banashankari
386,Yes,No,3,8,Quick Bites,150,Delivery,Banashankari
387,Yes,No,4,32,Quick Bites,300,Delivery,Banashankari
388,Yes,No,3,10,Quick Bites,200,Delivery,Banashankari
389,Yes,No,3,6,Quick Bites,300,Delivery,Banashankari
390,Yes,No,4,53,Quick Bites,250,Delivery,Banashankari
391,Yes,No,4,67,Casual Dining,700,Delivery,Banashankari
392,Yes,No,3,23,Sweet Shop,250,Delivery,Banashankari
393,Yes,No,3,19,Quick Bites,200,Delivery,Banashankari
394,Yes,No,4,24,Quick Bites,300,Delivery,Banashankari
395,Yes,No,4,232,Quick Bites,400,Delivery,Banashankari
396,Yes,No,4,221,Casual Dining,700,Delivery,Banashankari
397,Yes,Yes,4,1063,"Casual Dining, Bar",1200,Delivery,Banashankari
398,Yes,No,4,93,Quick Bites,200,Delivery,Banashankari
399,Yes,No,4,233,Casual Dining,800,Delivery,Banashankari
400,Yes,No,4,211,Casual Dining,500,Delivery,Banashankari
401,Yes,No,4,1778,Quick Bites,200,Delivery,Banashankari
402,Yes,No,4,218,Casual Dining,800,Delivery,Banashankari
403,Yes,No,4,514,Cafe,600,Delivery,Banashankari
404,Yes,Yes,4,866,Casual Dining,900,Delivery,Banashankari
405,Yes,No,3,96,Quick Bites,400,Delivery,Banashankari
406,Yes,No,4,80,Quick Bites,250,Delivery,Banashankari
407,Yes,No,4,73,Bakery,300,Delivery,Banashankari
408,Yes,No,4,84,Sweet Shop,400,Delivery,Banashankari
409,Yes,No,4,88,Quick Bites,350,Delivery,Banashankari
410,Yes,No,4,179,Casual Dining,600,Delivery,Banashankari
411,Yes,No,4,61,Quick Bites,100,Delivery,Banashankari
412,Yes,No,4,128,Casual Dining,450,Delivery,Banashankari
413,Yes,No,4,339,Quick Bites,400,Delivery,Banashankari
414,Yes,No,4,449,Quick Bites,100,Delivery,Banashankari
415,Yes,No,4,210,Other Rest Type,150,Delivery,Banashankari
416,Yes,No,4,57,Quick Bites,200,Delivery,Banashankari
417,Yes,No,3,213,Quick Bites,400,Delivery,Banashankari
418,Yes,No,3,208,"Beverage Shop, Quick Bites",250,Delivery,Banashankari
419,Yes,No,4,70,Quick Bites,100,Delivery,Banashankari
420,Yes,No,4,219,Cafe,600,Delivery,Banashankari
421,Yes,No,4,59,Quick Bites,200,Delivery,Banashankari
422,Yes,No,3,10,Quick Bites,500,Delivery,Banashankari
423,Yes,No,3,9,Quick Bites,400,Delivery,Banashankari
424,Yes,No,4,124,Casual Dining,750,Delivery,Banashankari
425,Yes,No,4,19,Quick Bites,100,Delivery,Banashankari
426,Yes,No,5,0,"Takeaway, Delivery",300,Delivery,Banashankari
427,Yes,No,3,4,Quick Bites,150,Delivery,Banashankari
428,Yes,No,3,4,Dessert Parlor,150,Delivery,Banashankari
429,Yes,No,4,21,Dessert Parlor,200,Delivery,Banashankari
430,Yes,No,3,8,Other Rest Type,250,Delivery,Banashankari
431,Yes,No,4,10,Quick Bites,400,Delivery,Banashankari
432,Yes,No,5,0,Quick Bites,400,Delivery,Banashankari
433,Yes,No,4,10,Quick Bites,400,Delivery,Banashankari
434,Yes,No,3,4,Quick Bites,200,Delivery,Banashankari
435,Yes,No,3,4,Delivery,350,Delivery,Banashankari
436,Yes,No,5,0,Quick Bites,300,Delivery,Banashankari
