,online_order,book_table,rate,votes,rest_type,cost,type,city
494,No,No,4,345,Dessert Parlor,400,Desserts,Banashankari
3126,No,No,5,0,Quick Bites,400,Delivery,Basavanagudi
2186,No,No,5,0,Quick Bites,200,Dine-out,Bannerghatta Road
1258,Yes,No,4,79,Quick Bites,500,Delivery,Bannerghatta Road
1164,Yes,No,3,22,Delivery,400,Delivery,Bannerghatta Road
3179,No,No,4,502,Bakery,150,Desserts,Basavanagudi
4692,Yes,No,3,200,Quick Bites,450,Dine-out,Bellandur
1489,Yes,No,3,4,Quick Bites,300,Delivery,Bannerghatta Road
4587,Yes,Yes,4,157,Casual Dining,600,Dine-out,Bellandur
4799,Yes,No,3,111,Quick Bites,400,Dine-out,Bellandur
618,No,No,3,128,Casual Dining,850,Dine-out,Banashankari
1741,No,No,5,0,Casual Dining,600,Delivery,Bannerghatta Road
2323,No,No,3,55,Casual Dining,800,Dine-out,Bannerghatta Road
4395,Yes,No,5,0,Dessert Parlor,300,Delivery,Bellandur
4501,No,No,3,8,Other Rest Type,600,Desserts,Bellandur
4606,Yes,No,5,0,Casual Dining,400,Dine-out,Bellandur
3406,No,No,4,46,Quick Bites,450,Dine-out,Basavanagudi
869,No,No,4,353,Casual Dining,1200,Buffet,Bannerghatta Road
2714,Yes,No,5,0,Bakery,350,Delivery,Basavanagudi
1042,Yes,No,4,102,Quick Bites,500,Delivery,Bannerghatta Road
2900,Yes,No,4,70,Quick Bites,200,Delivery,Basavanagudi
356,Yes,No,4,35,Quick Bites,300,Delivery,Banashankari
1162,Yes,No,4,586,Casual Dining,700,Delivery,Bannerghatta Road
3889,Yes,No,3,105,Quick Bites,300,Delivery,Bellandur
4785,No,No,5,0,Quick Bites,350,Dine-out,Bellandur
1260,Yes,No,3,17,Casual Dining,450,Delivery,Bannerghatta Road
3563,No,No,5,0,Quick Bites,150,Dine-out,Basavanagudi
2458,Yes,No,4,269,Other Rest Type,600,Dine-out,Bannerghatta Road
3542,Yes,No,4,232,Quick Bites,400,Dine-out,Basavanagudi
3635,No,No,4,94,Quick Bites,100,Dine-out,Basavanagudi
2029,No,No,3,14,Other Rest Type,700,Dine-out,Bannerghatta Road
3049,Yes,No,4,185,Quick Bites,200,Delivery,Basavanagudi
332,Yes,No,4,14,Quick Bites,100,Delivery,Banashankari
1292,Yes,No,4,71,"Takeaway, Delivery",300,Delivery,Bannerghatta Road
2732,Yes,No,4,192,Dessert Parlor,300,Delivery,Basavanagudi
3475,No,No,4,223,Cafe,800,Dine-out,Basavanagudi
3740,No,Yes,4,977,Lounge,1300,Drinks & nightlife,Basavanagudi
3570,No,No,5,0,Quick Bites,100,Dine-out,Basavanagudi
1116,Yes,No,3,17,Quick Bites,100,Delivery,Bannerghatta Road
1844,No,No,4,93,"Takeaway, Delivery",800,Desserts,Bannerghatta Road
3550,Yes,No,4,20,Quick Bites,800,Dine-out,Basavanagudi
2463,No,Yes,5,0,Other Rest Type,1400,Drinks & nightlife,Bannerghatta Road
4663,Yes,No,4,27,Casual Dining,400,Dine-out,Bellandur
4792,Yes,No,3,93,Quick Bites,400,Dine-out,Bellandur
445,Yes,No,3,5,"Takeaway, Delivery",199,Delivery,Banashankari
2242,No,Yes,5,3844,Casual Dining,1600,Dine-out,Bannerghatta Road
452,Yes,No,5,0,Quick Bites,300,Delivery,Banashankari
2802,Yes,No,4,49,Cafe,700,Delivery,Basavanagudi
4759,Yes,No,5,0,Quick Bites,300,Dine-out,Bellandur
4679,Yes,No,4,48,Quick Bites,300,Dine-out,Bellandur
14,Yes,No,4,918,Other Rest Type,800,Cafes,Banashankari
2620,Yes,No,4,364,Casual Dining,550,Delivery,Basavanagudi
945,Yes,No,4,396,Quick Bites,400,Delivery,Bannerghatta Road
247,Yes,No,4,31,Quick Bites,300,Delivery,Banashankari
3213,Yes,No,4,11,Other Rest Type,200,Desserts,Basavanagudi
360,Yes,Yes,4,36,Casual Dining,650,Delivery,Banashankari
4655,No,No,3,59,Casual Dining,550,Dine-out,Bellandur
1536,No,No,5,0,Food Court,600,Delivery,Bannerghatta Road
2685,Yes,Yes,4,1063,"Casual Dining, Bar",1200,Delivery,Basavanagudi
1281,Yes,Yes,4,448,Casual Dining,700,Delivery,Bannerghatta Road
3164,Yes,No,4,109,Casual Dining,500,Delivery,Basavanagudi
1743,No,No,4,34,Quick Bites,300,Delivery,Bannerghatta Road
4446,Yes,No,5,0,Quick Bites,400,Delivery,Bellandur
1335,Yes,No,5,0,Other Rest Type,200,Delivery,Bannerghatta Road
4883,No,No,5,0,Casual Dining,600,Dine-out,Bellandur
2990,No,No,5,0,Quick Bites,350,Delivery,Basavanagudi
490,Yes,Yes,4,164,Cafe,500,Delivery,Banashankari
862,No,No,3,377,Pub,1100,Drinks & nightlife,Banashankari
3311,Yes,No,4,216,Cafe,500,Dine-out,Basavanagudi
4370,No,No,4,177,Dessert Parlor,300,Delivery,Bellandur
1870,Yes,No,4,23,"Bakery, Quick Bites",450,Desserts,Bannerghatta Road
4127,Yes,No,4,57,Dessert Parlor,300,Delivery,Bellandur
1616,No,No,5,0,Delivery,300,Delivery,Bannerghatta Road
506,Yes,No,4,144,Cafe,700,Desserts,Banashankari
2673,Yes,No,4,11,Beverage Shop,150,Delivery,Basavanagudi
3616,No,No,5,0,Casual Dining,600,Dine-out,Basavanagudi
1937,No,No,5,0,Beverage Shop,250,Desserts,Bannerghatta Road
1222,Yes,No,4,181,Casual Dining,550,Delivery,Bannerghatta Road
1113,Yes,No,4,181,Delivery,500,Delivery,Bannerghatta Road
2316,No,No,3,43,Casual Dining,1000,Dine-out,Bannerghatta Road
4388,Yes,No,3,4,Quick Bites,300,Delivery,Bellandur
1351,Yes,No,3,4,Quick Bites,200,Delivery,Bannerghatta Road
4671,Yes,No,4,378,Quick Bites,500,Dine-out,Bellandur
433,Yes,No,4,10,Quick Bites,400,Delivery,Banashankari
2063,Yes,No,4,108,Quick Bites,600,Dine-out,Bannerghatta Road
3150,No,No,5,0,Quick Bites,100,Delivery,Basavanagudi
4437,No,No,4,132,Quick Bites,300,Delivery,Bellandur
3764,No,Yes,5,3421,Casual Dining,1300,Buffet,Bellandur
1514,Yes,No,3,19,Other Rest Type,200,Delivery,Bannerghatta Road
3158,Yes,No,4,31,Casual Dining,400,Delivery,Basavanagudi
3456,No,No,4,737,Cafe,500,Dine-out,Basavanagudi
1405,Yes,Yes,3,90,Casual Dining,800,Delivery,Bannerghatta Road
4150,Yes,No,5,0,Delivery,500,Delivery,Bellandur
1102,Yes,No,4,11,Beverage Shop,200,Delivery,Bannerghatta Road
1444,Yes,No,4,133,Delivery,300,Delivery,Bannerghatta Road
2236,No,No,5,0,Quick Bites,500,Dine-out,Bannerghatta Road
4333,No,No,3,5,Quick Bites,400,Delivery,Bellandur
3837,Yes,No,4,45,Quick Bites,600,Delivery,Bellandur
156,Yes,No,4,264,Casual Dining,750,Delivery,Banashankari
2974,No,No,3,4,Bakery,150,Delivery,Basavanagudi
2570,Yes,No,4,107,Beverage Shop,150,Delivery,Basavanagudi
615,No,No,3,98,Bar,800,Dine-out,Banashankari
643,No,No,4,343,Quick Bites,100,Dine-out,Banashankari
2944,No,No,4,428,Casual Dining,1000,Delivery,Basavanagudi
1630,No,No,5,0,Cafe,400,Delivery,Bannerghatta Road
1068,Yes,No,4,362,Casual Dining,600,Delivery,Bannerghatta Road
3880,Yes,No,3,105,Quick Bites,600,Delivery,Bellandur
3844,Yes,No,5,0,Quick Bites,300,Delivery,Bellandur
4238,Yes,No,4,149,Cafe,800,Delivery,Bellandur
3078,No,No,4,71,Food Court,1200,Delivery,Basavanagudi
330,Yes,No,4,77,Cafe,650,Delivery,Banashankari
1456,Yes,No,4,308,Cafe,750,Delivery,Bannerghatta Road
2642,Yes,No,3,12,Quick Bites,200,Delivery,Basavanagudi
2939,Yes,Yes,4,49,Cafe,300,Delivery,Basavanagudi
622,Yes,No,3,12,"Beverage Shop, Quick Bites",150,Dine-out,Banashankari
1746,No,No,5,0,"Takeaway, Delivery",300,Delivery,Bannerghatta Road
2321,No,No,3,56,Lounge,1200,Dine-out,Bannerghatta Road
3593,Yes,Yes,4,36,Casual Dining,650,Dine-out,Basavanagudi
2897,Yes,No,4,308,Cafe,750,Delivery,Basavanagudi
2792,Yes,No,4,30,Beverage Shop,100,Delivery,Basavanagudi
1650,Yes,No,3,22,"Bakery, Quick Bites",400,Delivery,Bannerghatta Road
2705,Yes,No,4,53,Quick Bites,400,Delivery,Basavanagudi
755,No,No,5,0,Quick Bites,150,Dine-out,Banashankari
518,No,No,4,45,"Takeaway, Delivery",400,Desserts,Banashankari
3862,Yes,No,4,38,Quick Bites,600,Delivery,Bellandur
32,Yes,No,4,35,Delivery,500,Delivery,Banashankari
3074,Yes,No,5,0,Casual Dining,600,Delivery,Basavanagudi
1157,Yes,No,4,8,Quick Bites,400,Delivery,Bannerghatta Road
744,No,No,5,0,Quick Bites,150,Dine-out,Banashankari
1849,Yes,No,4,13,Sweet Shop,400,Desserts,Bannerghatta Road
2399,Yes,No,3,102,Casual Dining,600,Dine-out,Bannerghatta Road
3647,No,No,3,21,Casual Dining,650,Dine-out,Basavanagudi
2587,Yes,No,4,71,Dessert Parlor,400,Delivery,Basavanagudi
783,Yes,No,4,444,Quick Bites,100,Dine-out,Banashankari
1767,No,No,5,0,Quick Bites,300,Delivery,Bannerghatta Road
2503,Yes,No,3,58,Cafe,400,Cafes,Basavanagudi
229,Yes,No,4,58,Quick Bites,650,Delivery,Banashankari
857,No,No,4,43,"Bar, Casual Dining",700,Drinks & nightlife,Banashankari
1491,Yes,No,3,334,Casual Dining,500,Delivery,Bannerghatta Road
4862,No,No,5,0,Quick Bites,450,Dine-out,Bellandur
408,Yes,No,4,84,Sweet Shop,400,Delivery,Banashankari
170,Yes,No,4,27,"Takeaway, Delivery",400,Delivery,Banashankari
540,No,No,4,8,Bakery,250,Desserts,Banashankari
4981,No,Yes,4,2111,Fine Dining,2200,Buffet,Brigade Road
2318,No,No,4,30,Casual Dining,450,Dine-out,Bannerghatta Road
4263,Yes,No,5,0,Quick Bites,300,Delivery,Bellandur
613,No,No,5,0,Bar,500,Dine-out,Banashankari
2447,No,No,5,0,Quick Bites,500,Dine-out,Bannerghatta Road
1803,Yes,No,3,28,Beverage Shop,250,Delivery,Bannerghatta Road
3434,No,No,5,0,Dessert Parlor,100,Dine-out,Basavanagudi
1161,Yes,No,5,0,Quick Bites,300,Delivery,Bannerghatta Road
2057,Yes,No,4,78,Quick Bites,400,Dine-out,Bannerghatta Road
2361,No,No,3,4,Quick Bites,200,Dine-out,Bannerghatta Road
1590,No,No,3,7,Quick Bites,400,Delivery,Bannerghatta Road
4264,Yes,No,4,76,"Takeaway, Delivery",300,Delivery,Bellandur
1451,Yes,No,5,0,Quick Bites,250,Delivery,Bannerghatta Road
2195,No,No,4,10,Food Court,400,Dine-out,Bannerghatta Road
564,Yes,No,4,787,Casual Dining,800,Dine-out,Banashankari
3567,No,No,3,26,Casual Dining,600,Dine-out,Basavanagudi
4246,No,No,3,6,Mess,300,Delivery,Bellandur
2282,Yes,No,4,178,Casual Dining,450,Dine-out,Bannerghatta Road
1739,No,No,3,55,Casual Dining,800,Delivery,Bannerghatta Road
2700,Yes,No,3,10,Quick Bites,500,Delivery,Basavanagudi
1397,Yes,No,3,31,"Takeaway, Delivery",500,Delivery,Bannerghatta Road
4927,Yes,No,5,0,Food Court,500,Dine-out,Bellandur
3471,Yes,Yes,4,364,Casual Dining,1200,Dine-out,Basavanagudi
4404,No,No,4,111,Casual Dining,600,Delivery,Bellandur
2389,Yes,No,4,35,Quick Bites,200,Dine-out,Bannerghatta Road
2480,Yes,Yes,4,2022,Casual Dining,1000,Buffet,Basavanagudi
3958,Yes,No,5,0,Dessert Parlor,300,Delivery,Bellandur
1172,Yes,No,3,122,Casual Dining,500,Delivery,Bannerghatta Road
3405,Yes,No,4,34,Quick Bites,200,Dine-out,Basavanagudi
325,Yes,No,3,7,Quick Bites,250,Delivery,Banashankari
1051,Yes,No,4,95,Delivery,600,Delivery,Bannerghatta Road
2942,Yes,Yes,4,548,Casual Dining,1200,Delivery,Basavanagudi
3290,Yes,No,4,232,Casual Dining,750,Dine-out,Basavanagudi
2881,Yes,Yes,4,1403,Other Rest Type,1100,Delivery,Basavanagudi
3176,Yes,No,3,4,Quick Bites,150,Delivery,Basavanagudi
3666,Yes,No,3,19,Quick Bites,200,Dine-out,Basavanagudi
1196,Yes,No,4,9,Bakery,450,Delivery,Bannerghatta Road
620,Yes,No,3,45,Casual Dining,800,Dine-out,Banashankari
1370,Yes,No,3,5,Beverage Shop,100,Delivery,Bannerghatta Road
2955,Yes,No,4,116,Casual Dining,400,Delivery,Basavanagudi
1189,Yes,No,4,25,Casual Dining,600,Delivery,Bannerghatta Road
328,Yes,No,4,36,Dessert Parlor,200,Delivery,Banashankari
648,Yes,No,4,28,Quick Bites,300,Dine-out,Banashankari
897,No,No,5,0,Cafe,400,Cafes,Bannerghatta Road
3622,Yes,No,4,134,Quick Bites,350,Dine-out,Basavanagudi
1123,Yes,No,4,8,Quick Bites,300,Delivery,Bannerghatta Road
1886,No,No,3,5,Dessert Parlor,150,Desserts,Bannerghatta Road
4727,Yes,No,3,56,Quick Bites,600,Dine-out,Bellandur
1818,Yes,No,5,0,Quick Bites,400,Delivery,Bannerghatta Road
4444,No,No,5,0,Casual Dining,600,Delivery,Bellandur
1912,No,No,4,11,Dessert Parlor,400,Desserts,Bannerghatta Road
1436,Yes,No,4,14,Casual Dining,600,Delivery,Bannerghatta Road
3308,No,No,4,66,Casual Dining,400,Dine-out,Basavanagudi
2145,No,No,3,4,Quick Bites,100,Dine-out,Bannerghatta Road
1541,No,No,4,40,Quick Bites,350,Delivery,Bannerghatta Road
1505,Yes,No,4,283,Quick Bites,350,Delivery,Bannerghatta Road
1023,Yes,No,4,189,Quick Bites,300,Delivery,Bannerghatta Road
1965,No,No,5,0,Cafe,600,Dine-out,Bannerghatta Road
2387,Yes,No,5,0,Quick Bites,150,Dine-out,Bannerghatta Road
1598,No,No,5,0,Quick Bites,100,Delivery,Bannerghatta Road
3950,Yes,Yes,4,1381,Other Rest Type,1500,Delivery,Bellandur
4953,No,Yes,4,125,Lounge,2500,Drinks & nightlife,Bellandur
809,Yes,No,3,4,Casual Dining,500,Dine-out,Banashankari
2846,Yes,No,4,130,Cafe,650,Delivery,Basavanagudi
978,Yes,No,4,74,Quick Bites,400,Delivery,Bannerghatta Road
3350,Yes,No,4,444,Quick Bites,100,Dine-out,Basavanagudi
2686,Yes,No,3,15,Cafe,900,Delivery,Basavanagudi
2749,Yes,No,3,7,Quick Bites,200,Delivery,Basavanagudi
2487,Yes,No,4,4884,Casual Dining,750,Buffet,Basavanagudi
4281,No,No,5,0,"Takeaway, Delivery",500,Delivery,Bellandur
3481,Yes,No,4,221,Casual Dining,700,Dine-out,Basavanagudi
1878,Yes,No,3,7,"Takeaway, Delivery",300,Desserts,Bannerghatta Road
3568,No,Yes,4,176,Casual Dining,1350,Dine-out,Basavanagudi
4976,Yes,Yes,4,929,Casual Dining,800,Buffet,Brigade Road
174,Yes,No,4,64,Quick Bites,500,Delivery,Banashankari
